Name,Number,Name,Number
John,84591,Mary,161504
William,69319,Helen,69428
James,62170,Margaret,57921
George,43589,Anna,54918
Charles,36184,Ruth,51011
Robert,35849,Elizabeth,41707
Joseph,35173,Dorothy,39112
Frank,29046,Marie,37091
Edward,24516,Florence,36191
Thomas,21785,Mildred,36173
Henry,21772,Alice,35232
Walter,19997,Ethel,34868
Harry,17906,Lillian,32519
Willie,17746,Gladys,30285
Arthur,15408,Edna,29832
Albert,15318,Frances,28499
Clarence,13573,Rose,28106
Fred,13076,Annie,27748
Harold,12795,Grace,26926
Paul,12637,Bertha,24247
Raymond,11650,Emma,24176
Richard,10676,Bessie,23984
Roy,10632,Clara,23899
Joe,10466,Hazel,23802
Louis,10372,Irene,23656
Carl,9865,Gertrude,23607
Ralph,9298,Louise,22862
Earl,9251,Catherine,22007
Jack,9222,Martha,21750
Ernest,8657,Mabel,21625
David,8621,Pearl,20913
Samuel,8149,Edith,20884
Howard,8014,Esther,20026
Charlie,7928,Minnie,19715
Francis,7021,Myrtle,19691
Herbert,6957,Ida,18866
Lawrence,6846,Josephine,18785
Theodore,6490,Evelyn,18602
Alfred,6356,Elsie,18452
Andrew,6279,Eva,18357
Elmer,6161,Thelma,18265
Sam,6161,Ruby,18176
Eugene,5909,Agnes,17617
Leo,5629,Sarah,17342
Michael,5220,Viola,16559
Lee,5158,Nellie,16339
Herman,5064,Beatrice,16282
Anthony,5043,Julia,16107
Daniel,5036,Laura,15532
Leonard,5022,Lillie,15391
Floyd,4968,Lucille,15041
Donald,4633,Ella,14764
Kenneth,4579,Virginia,14539
Jesse,4559,Mattie,13837
Russell,4552,Pauline,13310
Clyde,4524,Carrie,13140
Oscar,4517,Alma,13092
Peter,4376,Jessie,12756
Lester,4361,Mae,12711
Leroy,4300,Lena,12703
Ray,4256,Willie,12357
Stanley,4156,Katherine,12105
Clifford,4055,Blanche,11730
Lewis,4042,Hattie,11717
Benjamin,4009,Marion,11713
Edwin,3961,Lucy,11020
Frederick,3900,Stella,11014
Chester,3788,Mamie,10618
Claude,3704,Vera,10457
Eddie,3695,Cora,10372
Cecil,3610,Fannie,10346
Lloyd,3507,Eleanor,10030
Jessie,3379,Bernice,10010
Martin,3346,Jennie,9988
Bernard,3296,Ann,9932
Tom,3293,Leona,9849
Will,3246,Beulah,9716
Norman,3178,Lula,9518
Edgar,3154,Rosa,9297
Harvey,3104,Ada,9121
Ben,3028,Ellen,8339
Homer,2915,Kathryn,8333
Luther,2866,Maggie,8289
Leon,2859,Doris,8252
Melvin,2840,Dora,8011
Philip,2817,Betty,7920
Johnnie,2781,Marguerite,7912
Jim,2718,Violet,7844
Milton,2695,Lois,7691
Everett,2597,Daisy,7687
Allen,2558,Anne,7615
Leslie,2531,Sadie,7461
Alvin,2484,Susie,7311
Victor,2447,Nora,7172
Marvin,2324,Georgia,7142
Stephen,2247,Maude,7142
Alexander,2230,Marjorie,7025
Jacob,2191,Opal,6791
Hugh,2176,Hilda,6783
Patrick,2141,Velma,6558
Virgil,2134,Emily,6423
Horace,2125,Theresa,6396
Glenn,2122,Charlotte,6194
Oliver,2088,Inez,6115
Morris,2059,Olive,6027
Vernon,2053,Flora,6015
Archie,2048,Della,5958
Julius,2038,Lola,5949
Gerald,2014,Jean,5931
Maurice,1981,Effie,5870
Sidney,1981,Nancy,5733
Marion,1967,Nettie,5680
Otis,1966,Sylvia,5559
Vincent,1954,May,5546
Guy,1913,Lottie,5482
Earnest,1907,Alberta,5475
Wilbur,1839,Eunice,5376
Gilbert,1822,Sallie,5306
Willard,1821,Katie,5304
Ed,1814,Genevieve,5292
Roosevelt,1790,Estelle,5259
Hubert,1771,Lydia,5242
Manuel,1751,Loretta,5151
Warren,1748,Mable,5148
Otto,1746,Goldie,4966
Alex,1745,Eula,4872
Ira,1714,Rosie,4828
Wesley,1693,Lizzie,4824
Curtis,1683,Vivian,4818
Wallace,1654,Verna,4752
Lonnie,1645,Ollie,4725
Gordon,1642,Harriet,4600
Isaac,1638,Lucile,4566
Jerry,1636,Addie,4563
Charley,1633,Marian,4532
Jose,1627,Henrietta,4514
Nathan,1616,Jane,4499
Max,1567,Lela,4473
Mack,1562,Essie,4467
Rufus,1552,Caroline,4276
Arnold,1546,Ora,4262
Irving,1524,Iva,4212
Percy,1517,Sara,4210
Bill,1513,Maria,4174
Dan,1499,Madeline,4080
Willis,1468,Rebecca,4052
Bennie,1438,Wilma,4012
Jimmie,1372,Etta,4003
Orville,1365,Barbara,4001
Sylvester,1343,Rachel,3974
Rudolph,1339,Kathleen,3924
Glen,1337,Irma,3909
Nicholas,1334,Christine,3901
Dewey,1320,Geneva,3861
Emil,1319,Sophie,3839
Roland,1316,Juanita,3837
Steve,1307,Nina,3743
Calvin,1291,Naomi,3700
Mike,1281,Victoria,3692
Johnie,1276,Amelia,3664
Bert,1253,Erma,3623
August,1245,Mollie,3475
Clifton,1197,Susan,3448
Franklin,1196,Flossie,3410
Matthew,1188,Ola,3410
Emmett,1187,Nannie,3391
Phillip,1161,Norma,3335
Wayne,1158,Sally,3294
Edmund,1151,Olga,3172
Abraham,1145,Alta,3091
Nathaniel,1143,Estella,3068
Marshall,1135,Celia,2971
Dave,1133,Freda,2932
Elbert,1131,Isabel,2926
Clinton,1122,Amanda,2923
Felix,1108,Frieda,2897
Alton,1102,Luella,2895
Ellis,1100,Matilda,2892
Nelson,1064,Janie,2853
Amos,1062,Fern,2813
Clayton,1057,Cecelia,2793
Aaron,1050,Audrey,2707
Perry,1047,Winifred,2689
Adam,1021,Elva,2677
Tony,1020,Ina,2667
Irvin,1007,Adeline,2646
Jake,989,Leola,2615
Dennis,988,Hannah,2605
Jerome,972,Geraldine,2589
Mark,972,Amy,2576
Cornelius,956,Allie,2574
Ollie,952,Miriam,2566
Douglas,950,Isabelle,2514
Pete,949,Bonnie,2496
Ted,942,Virgie,2466
Adolph,941,Sophia,2460
Roger,928,Cleo,2441
Jay,926,Jeanette,2438
Roscoe,916,Nell,2436
Juan,912,Eliza,2397
