Robert,576376,Mary,701760
John,564062,Dorothy,368874
James,515308,Helen,290406
William,512403,Betty,283098
Charles,298035,Margaret,245008
George,261951,Ruth,218522
Joseph,243815,Virginia,169555
Richard,222605,Doris,151192
Edward,197351,Mildred,147155
Donald,191823,Frances,140387
Thomas,161114,Elizabeth,139675
Frank,151830,Evelyn,124165
Harold,133598,Anna,123896
Paul,132391,Marie,110564
Raymond,124214,Alice,110527
Walter,119810,Jean,105999
Jack,115985,Shirley,98602
Henry,104555,Barbara,97213
Kenneth,99492,Irene,92836
Arthur,97115,Marjorie,91222
Albert,94435,Florence,88294
David,88744,Lois,88131
Harry,86182,Martha,86789
Eugene,84755,Rose,85307
Ralph,84467,Lillian,83155
Howard,70349,Louise,82895
Carl,69852,Catherine,78883
Willie,67993,Ruby,76733
Louis,67694,Eleanor,74759
Clarence,66576,Patricia,74736
Earl,63604,Gladys,72561
Roy,63260,Annie,69468
Fred,62741,Josephine,69222
Joe,62675,Thelma,68768
Francis,59097,Edna,68629
Lawrence,56867,Norma,65240
Herbert,56530,Pauline,64073
Leonard,53795,Lucille,63881
Ernest,53654,Edith,62989
Alfred,50156,Gloria,62855
Anthony,50057,Ethel,62804
Stanley,49456,Phyllis,61869
Norman,49363,Grace,60062
Gerald,44523,Hazel,58984
Daniel,43421,June,56483
Samuel,43365,Bernice,55840
Bernard,42410,Marion,55178
Billy,42094,Dolores,51990
Melvin,40583,Rita,50588
Marvin,39588,Lorraine,49939
Warren,38775,Ann,49810
Michael,37897,Esther,49231
Leroy,37871,Beatrice,49229
Russell,37209,Juanita,48547
Leo,36960,Clara,48183
Andrew,35955,Jane,48049
Edwin,35255,Geraldine,48044
Elmer,34919,Sarah,46769
Peter,34071,Emma,46537
Floyd,33157,Joan,45351
Lloyd,33127,Joyce,44175
Ray,32048,Nancy,43805
Frederick,31514,Katherine,42745
Theodore,31288,Gertrude,42459
Clifford,31243,Elsie,42099
Vernon,29433,Julia,40331
Herman,29012,Agnes,39222
Clyde,28957,Wilma,39125
Chester,28434,Marian,38978
Philip,27269,Bertha,38571
Alvin,26872,Eva,38046
Lester,26512,Willie,37814
Wayne,26403,Audrey,37550
Vincent,26240,Theresa,36666
Gordon,25622,Vivian,36572
Leon,25577,Wanda,36007
